freq_hz  ,xx_norm ,xx_arg  ,xy_norm ,xy_arg  ,yx_norm ,yx_arg  ,yy_norm ,yy_arg  
128000000,+0.68433,+0.04229,+0.00014,-3.02907,+0.00014,+3.11365,+0.66682,+0.04229
134400000,+0.62694,+0.04440,+0.00016,-2.99442,+0.00016,+3.08322,+0.61054,+0.04440
140800000,+0.57416,+0.04652,+0.00020,-2.99071,+0.00020,+3.08375,+0.55776,+0.04652
147200000,+0.52414,+0.04863,+0.00021,-2.97365,+0.00021,+3.07092,+0.50747,+0.04863
153600000,+0.47909,+0.05075,+0.00015,-2.98782,+0.00015,+3.08931,+0.46232,+0.05075
160000000,+0.43758,+0.05286,+0.00014,-2.97634,+0.00014,+3.08206,+0.42055,+0.05286
166400000,+0.39878,+0.05497,+0.00013,-2.98567,+0.00013,+3.09562,+0.38259,+0.05497
172800000,+0.36487,+0.05709,+0.00012,-3.00575,+0.00012,+3.11993,+0.34766,+0.05709
179200000,+0.33624,+0.05920,+0.00008,-2.98726,+0.00008,+3.10567,+0.31585,+0.05920
185600000,+0.31175,+0.06132,+0.00006,-2.90119,+0.00006,+3.02382,+0.28651,+0.06132
192000000,+0.29099,+0.06343,+0.00005,-2.81283,+0.00005,+2.93970,+0.26023,+0.06343
198400000,+0.27074,+0.06555,+0.00005,-2.67354,+0.00005,+2.80463,+0.23514,+0.06555
204800000,+0.24950,+0.06766,+0.00002,-2.43561,+0.00002,+2.57093,+0.21099,+0.06766
211200000,+0.22718,+0.06978,+0.00001,-1.41276,+0.00001,+1.55231,+0.18859,+0.06978
217600000,+0.20433,+0.07189,+0.00003,+0.21546,+0.00003,-0.07168,+0.16865,+0.07189
224000000,+0.18155,+0.07400,+0.00005,+0.35662,+0.00005,-0.20861,+0.15152,+0.07400
230400000,+0.15983,+0.07612,+0.00005,+0.44245,+0.00005,-0.29021,+0.13826,+0.07612
236800000,+0.14042,+0.07823,+0.00006,+0.32106,+0.00006,-0.16460,+0.12938,+0.07823
243200000,+0.12309,+0.08035,+0.00005,+0.07044,+0.00005,+0.09025,+0.12121,+0.08035
249600000,+0.10831,+0.08246,+0.00004,-0.32887,+0.00004,+0.49379,+0.10502,+0.08246
256000000,+0.09404,+0.08458,+0.00003,-0.73288,+0.00003,+0.90203,+0.07485,+0.08458
262400000,+0.08041,+0.08669,+0.00002,-0.93949,+0.00002,+1.11287,+0.06481,+0.08669
268800000,+0.06859,+0.08880,+0.00002,-0.99981,+0.00002,+1.17742,+0.05690,+0.08880
275200000,+0.05826,+0.09092,+0.00002,-0.91258,+0.00002,+1.09442,+0.05020,+0.09092
