freq_hz  ,xx_norm ,xx_arg  ,xy_norm ,xy_arg  ,yx_norm ,yx_arg  ,yy_norm ,yy_arg  
128000000,+0.68433,-0.46571,+0.00014,+2.74612,+0.00014,+2.60565,+0.66682,-0.46571
134400000,+0.62694,-0.48899,+0.00016,+2.75537,+0.00016,+2.54983,+0.61054,-0.48899
140800000,+0.57416,-0.51228,+0.00020,+2.73368,+0.00020,+2.52495,+0.55776,-0.51228
147200000,+0.52414,-0.53556,+0.00021,+2.72534,+0.00021,+2.48672,+0.50747,-0.53556
153600000,+0.47909,-0.55885,+0.00015,+2.68577,+0.00015,+2.47972,+0.46232,-0.55885
160000000,+0.43758,-0.58213,+0.00014,+2.67185,+0.00014,+2.44707,+0.42055,-0.58213
166400000,+0.39878,-0.60542,+0.00013,+2.63712,+0.00013,+2.43523,+0.38259,-0.60542
172800000,+0.36487,-0.62870,+0.00012,+2.59164,+0.00012,+2.43414,+0.34766,-0.62870
179200000,+0.33624,-0.65199,+0.00008,+2.58473,+0.00008,+2.39448,+0.31585,-0.65199
185600000,+0.31175,-0.67527,+0.00006,+2.64540,+0.00006,+2.28723,+0.28651,-0.67527
192000000,+0.29099,-0.69856,+0.00005,+2.70836,+0.00005,+2.17771,+0.26023,-0.69856
198400000,+0.27074,-0.72184,+0.00005,+2.82226,+0.00005,+2.01724,+0.23514,-0.72184
204800000,+0.24950,-0.74513,+0.00002,+3.03479,+0.00002,+1.75814,+0.21099,-0.74513
211200000,+0.22718,-0.76842,+0.00001,-2.25095,+0.00001,+0.71412,+0.18859,-0.76842
217600000,+0.20433,-0.79170,+0.00003,-0.64813,+0.00003,-0.93527,+0.16865,-0.79170
224000000,+0.18155,-0.81499,+0.00005,-0.53237,+0.00005,-1.09760,+0.15152,-0.81499
230400000,+0.15983,-0.83827,+0.00005,-0.47194,+0.00005,-1.20460,+0.13826,-0.83827
236800000,+0.14042,-0.86156,+0.00006,-0.61873,+0.00006,-1.10438,+0.12938,-0.86156
243200000,+0.12309,-0.88484,+0.00005,-0.89475,+0.00005,-0.87493,+0.12121,-0.88484
249600000,+0.10831,-0.90813,+0.00004,-1.31946,+0.00004,-0.49680,+0.10502,-0.90813
256000000,+0.09404,-0.93141,+0.00003,-1.74887,+0.00003,-0.11396,+0.07485,-0.93141
262400000,+0.08041,-0.95470,+0.00002,-1.98088,+0.00002,+0.07148,+0.06481,-0.95470
268800000,+0.06859,-0.97798,+0.00002,-2.06660,+0.00002,+0.11063,+0.05690,-0.97798
275200000,+0.05826,-1.00127,+0.00002,-2.00477,+0.00002,+0.00223,+0.05020,-1.00127
